chapter_1	
chapter_1	the name be of -PRON- own bestowal for there be more than one sort of porpoise and something must be do to distinguish -PRON-
chapter_1	-PRON- appearance be generally hail with delight by the mariner
chapter_1	-PRON- be the lad that always live before the wind
chapter_1	-PRON- be account a lucky omen
chapter_1	but the fine and delicate fluid extract from -PRON- jaw be exceedingly valuable
chapter_1	-PRON- be in request among jeweller and watchmaker
chapter_1	porpoise meat be good eating -PRON- know
chapter_1	-PRON- may never have occur to -PRON- that a porpoise spout
chapter_1	but the next time -PRON- have a chance watch -PRON- and -PRON- will then see the great sperm whale -PRON- in miniature book iii
chapter_1	duodecimo
chapter_1	chapter ii
chapter_1	algerine porpoise).--a pirate
chapter_1	very savage
chapter_1	-PRON- be only find -PRON- think in the pacific
chapter_1	-PRON- be somewhat large than the huzza porpoise but much of the same general make
chapter_1	provoke -PRON- and -PRON- will buckle to a shark
chapter_1	-PRON- have lower for -PRON- many time but never yet see -PRON- capture
chapter_1	book iii
chapter_1	chapter iii
chapter_1	mealy mouthed
chapter_1	in shape -PRON- differ in some degree from the huzza porpoise be of a less rotund and jolly girth indeed -PRON- be of quite a neat and gentleman like figure
chapter_1	-PRON- have no fin on -PRON- back most other porpoise have -PRON- have a lovely tail and sentimental indian eye of a hazel hue
chapter_1	though -PRON- entire back down to -PRON- side fin be of a deep sable yet a boundary line distinct as the mark in a ship 's hull call the bright waist that line streak -PRON- from stem to stern with two separate colour black above and white below
chapter_1	the white comprise part of -PRON- head and the whole of -PRON- mouth which make -PRON- look as if -PRON- have just escape from a felonious visit to a meal bag
chapter_1	a most mean and mealy aspect
chapter_1	beyond the duodecimo this system do not proceed inasmuch as the porpoise be the small of the whale
chapter_1	above -PRON- have all the leviathans of note
chapter_1	the bottle nose whale the junk whale the pudding head whale the cape whale the lead whale the cannon whale the scragg whale the coppered whale the elephant whale the iceberg whale the quog whale the blue whale etc
chapter_1	from icelandic dutch and old english authority there may be quote other list of uncertain whale bless with all manner of uncouth name
chapter_1	finally -PRON- be state at the outset that this system would not be here and at once perfect
chapter_1	-PRON- can not but plainly see that -PRON- have keep -PRON- word
chapter_1	but -PRON- now leave -PRON- cetological system standing thus unfinished even as the great cathedral of cologne be leave with the crane still stand upon the top of the uncompleted tower
chapter_1	for small erection may be finish by -PRON- first architect grand one true one ever leave the copestone to posterity
chapter_2	the carpet bag -PRON- stuff a shirt or two into -PRON- old carpet bag tuck -PRON- under -PRON- arm and start for cape horn and the pacific
chapter_2	quit the good city of old manhatto -PRON- duly arrive in new bedford
chapter_2	-PRON- be a saturday night in december
chapter_2	as most young candidate for the pain and penalty of whaling stop at this same new bedford thence to embark on -PRON- voyage -PRON- may as well be relate that -PRON- for one have no idea of so do
chapter_2	the tyre of this carthage the place where the first dead american whale be strand
chapter_2	where else
chapter_2	and where but from nantucket too do that first adventurous little sloop put forth partly laden with import cobblestone so go the story to throw at the whale in order to discover when -PRON- be nigh enough to risk a harpoon from the bowsprit
chapter_2	now have a night a day and still another night follow before -PRON- in new bedford ere -PRON- could embark for -PRON- destine port -PRON- become a matter of concernment where -PRON- be to eat and sleep meanwhile
chapter_2	-PRON- be a very dubious looking nay a very dark and dismal night bitingly cold and cheerless
chapter_2	-PRON- know no one in the place
chapter_2	with anxious grapnel -PRON- have sound -PRON- pocket and only bring up a few piece of silver
chapter_2	so wherever -PRON- go ishmael say -PRON- to -PRON- as -PRON- stand in the middle of a dreary street shoulder -PRON- bag and compare the gloom towards the north with the darkness towards the south wherever in -PRON- wisdom -PRON- may conclude to lodge for the night -PRON- dear ishmael be sure to inquire the price and do not be too particular
chapter_2	with halt step -PRON- pace the street and pass the sign of the cross harpoons
chapter_2	but -PRON- look too expensive and jolly there
chapter_2	further on from the bright red window of the sword fish inn there come such fervent ray that -PRON- seem to have melt the packed snow and ice from before the house for everywhere else the congeal frost lie ten inch thick in a hard asphaltic pavement rather weary for -PRON- when -PRON- strike -PRON- foot against the flinty projection because from hard remorseless service the sol of -PRON- boot be in a most miserable plight
chapter_2	too expensive and jolly again think
chapter_2	-PRON- pause one moment to watch the broad glare in the street and hear the sound of the tinkle glass within
chapter_2	but go on ishmael say -PRON- at last do not -PRON- hear get away from before the door -PRON- patch boot be stop the way
chapter_2	so on -PRON- go
chapter_2	-PRON- now by instinct follow the street that take -PRON- waterward for there doubtless be the cheap if not the cheery inn
chapter_2	such dreary street
chapter_2	block of blackness not house on either hand and here and there a candle like a candle move about in a tomb
chapter_2	but presently -PRON- come to a smoky light proceed from a low wide building the door of which stand invitingly open
chapter_2	ha
chapter_2	think -PRON- ha as the fly particle almost choke -PRON- be these ash from that destroy city gomorrah
chapter_2	this then must needs be the sign of the trap
chapter_2	however -PRON- pick -PRON- up and hear a loud voice within push on and open a second interior door
chapter_2	-PRON- be a negro church and the preacher 's text be about the blackness of darkness and the weeping and wail and tooth gnash there
chapter_2	ha ishmael mutter
chapter_2	-PRON- back out wretched entertainment at the sign of the trap
chapter_2	"move on -PRON- at last come to a dim sort of light not far from the dock and hear a forlorn creaking in the air and look up see a swinging sign over the door with a white painting upon -PRON- faintly represent a tall straight jet of misty spray and these word underneath--""the spouter inn"
chapter_2	peter coffin
chapter_2	spouter
chapter_2	but -PRON- be a common name in nantucket -PRON- say and -PRON- suppose this peter here be an emigrant from there
chapter_2	-PRON- be a queer sort of place a gable end old house one side palsied as -PRON- be and lean over sadly
